id,family,Nfixer,spcode,treatment,la_m2,sla_cm2_g,ldmc_g_g,leafthick_mm,amax_umol_m2_s1,gs_mol_m2_s2,wue_umol_mmol,d13c_perMil,CN,Narea_g_m2,Nmass_g_m2,tissueDensity_g_cm3,total_biomass_g,above_biom_g,below_biom_g,initial_height_cm,rgr,agr
127,legume,fixer,dr,ambientrain,0.01292157,141.5287,0.353328173,0.23,12.477,0.31,2.598,-28.50796841,19.488025704495467,1.7377859600242078,24.59465819,0.3072045519358633,10.234,5.966,4.268,11,0.014584599,0.317647059
128,legume,fixer,dr,ambientrain,0.00989003,169.06034,0.323561947,0.21,9.6,0.27,2.143,-29.94887863,22.695946039377024,1.2127991515900354,20.503623919999995,0.2816689450585964,7.884,5.297,2.587,11,0.012562831,0.247058824
129,legume,fixer,dr,ambientrain_water_nutrients,0.01060058,143.44493,0.309853249,0.26,10.16,0.147,3.777,-29.57941331,18.79724003604315,1.7192782624497902,24.662174239999995,0.2681275557214776,16.852,9.189,7.663,11,0.014890193,0.329411765
130,legume,fixer,dr,ambientrain_water_nutrients,0.01093136,141.04981,0.335788562,0.22,9.923,0.137,4.084,-29.81789205,24.345363365911197,1.3725326029881002,19.3595458,0.32225882087005614,15.629,9.298,6.331,8.5,0.015778517,0.282352941
131,legume,fixer,dr,ambientrain_water_nutrients,0.01147232,139.73593,0.350555081,0.22,14.297,0.317,3.412,-29.73739501,25.01818912582695,1.3295862912235712,18.57909793,0.32528888922516536,13.91,8.225,5.685,10,0.01616136,0.347058824
132,legume,fixer,dr,ambientrain_water_nutrients,0.01128904,135.52269,0.385648148,0.21,9.863,0.17,3.433,-28.43628865,20.41826505958836,1.6878472826963142,22.87416025,0.35137324693781996,12.945,8.389,4.556,12.5,0.014397358,0.352941176
133,legume,fixer,dr,ambientrain_water,0.00803905,133.53904,0.32860262,0.24,12.307,0.17,3.729,-30.04217286,21.883737779052453,1.6157315215280412,21.57632307,0.31201861767664846,9.304,4.818,4.486,10,0.011241311,0.188235294
134,legume,fixer,dr,ambientrain_water,0.00799511,139.28763,0.355417957,0.21,12.977,0.187,3.676,-28.83273523,23.169162447409263,1.4698597522760788,20.47332823,0.34187563977538865,9.749,4.784,4.965,7,0.014495808,0.2
135,legume,fixer,dr,ambientrain_water,0.0100127,125.94591,0.356023287,0.24,12.193,0.2,3.284,-29.51119234,23.04859050226208,1.602935240015181,20.18831406,0.3308298512168173,12.2,6.305,5.895,9,0.012704943,0.205882353
136,legume,fixer,dr,ambientrain_water,0.00898884,146.87647,0.337562052,0.23,17.217,0.363,3.136,-30.3013138,24.61427463598129,1.2905913475509632,18.955750209999998,0.2960192389534227,9.608,5.148,4.46,9.5,0.012288765,0.205882353
137,legume,fixer,dr,ambientrain_nutrients,0.00686285,128.27757,0.401049475,0.2,8.257,0.11,4.22,-29.85227553,19.084744038458098,1.9051017104701398,24.438181819999997,0.38977975650770436,11.613,5.68,5.933,10.5,0.013292527,0.258823529
138,legume,fixer,dr,ambientrain_nutrients,0.00821543,152.13759,0.325301205,0.23,8.08,0.08,5.572,-28.6618947,17.626608410339152,1.784668580415146,27.15151814,0.28578250036407976,13.157,5.974,7.183,8.5,0.014233387,0.235294118
140,legume,fixer,dr,ambientrain_nutrients,0.00917681,136.55967,0.326848249,0.24,7.795,0.105,4.06,-28.99916768,20.297066050262284,1.7003057794941816,23.219320059999998,0.3051169255657008,14.026,7.301,6.725,9.5,0.016614939,0.347058824
145,nonlegume,nonFixer,to,ambientrain,0.00236324,216.81101,0.372013652,0.23,5.447,0.197,1.46,-30.30895539,27.116929435269288,0.7712987815372115,16.722606719999998,0.20053529970440714,2.987,0.79,2.197,5,0.005529454,0.035294118
146,nonlegume,nonFixer,to,ambientrain,0.0020843,200.41346,0.383763838,0.21,5.42,0.19,1.51,-29.24035615,26.96681749102722,0.8483592933071056,17.002262260000002,0.23760403926486587,3.257,0.77,2.487,6,0.001813537,0.011764706
147,nonlegume,nonFixer,to,ambientrain,0.00158521,174.1989,0.40625,0.21,6.71,0.207,1.757,-29.87585956,29.008276475548517,0.8913754634527917,15.527662620000001,0.27336020846886877,2.153,0.699,1.454,5,0.003958497,0.023529412
